date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients,hosp_patients,weekly_hosp_admissions,daily_case_change_rate,daily_death_change_rate,hospitalization_rate,icu_rate,case_fatality_rate,7day_avg_new_cases,7day_avg_new_deaths,hospitalization_need,icu_requirement
2022-01-20,67634180.0,856293.0,854177.0,2642.0,199929.672,2524.986,26283.0,152923.0,148735.0,1.2823002321112675,0.3102632305190039,0.22610313306082813,0.038860528803631535,1.2629368759996795,765148.8571428572,2001.2857142857142,High,High
2022-01-21,68414646.0,780466.0,857436.0,3259.0,202236.765,2534.619,26023.0,150229.0,146407.0,1.1539520402258148,0.3815368477493541,0.21958602256014012,0.03803717701031443,1.2532930448839859,754375.4285714285,2112.5714285714284,High,High
2022-01-22,69191136.0,776490.0,860337.0,2901.0,204532.104,2543.195,25679.0,145668.0,143652.0,1.1349762739399396,0.33833428967293183,0.21052985746613556,0.03711313541665221,1.2434208335587957,737830.7142857143,2215.714285714286,High,High
2022-01-23,69967616.0,776480.0,864137.0,3800.0,206827.414,2554.428,25528.0,144757.0,141813.0,1.122224673403252,0.44168738529204254,0.20689142817157014,0.03648545064047916,1.2350527992836,720412.5714285715,2329.714285714286,High,High
2022-01-24,70296180.0,328564.0,865355.0,1218.0,207798.664,2558.028,25562.0,144760.0,140617.0,0.4695943906392352,0.14094987253178604,0.20592868630983932,0.036363284605223214,1.2310128373974234,700785.0,2306.5714285714284,High,High
2022-01-25,70611127.0,314947.0,866315.0,960.0,208729.661,2560.866,25311.0,143297.0,139159.0,0.4480286126500757,0.11093712984844371,0.20293827062128608,0.035845625293588645,1.2268817066182784,685957.8571428572,2319.0,High,High
2022-01-26,71622275.0,1011148.0,869099.0,2784.0,211718.66,2569.096,25073.0,141674.0,136255.0,1.4319952717933535,0.3213611677045878,0.1978071766081153,0.03500726554692657,1.2134479112817904,692055.4285714285,2509.1428571428573,High,High
2022-01-27,72115507.0,493232.0,872629.0,3530.0,213176.676,2579.53,24470.0,137503.0,132858.0,0.6886572647964617,0.40616776684819567,0.19067050308611155,0.033931675749017474,1.2100434931421893,640189.5714285715,2636.0,High,High
2022-01-28,72660732.0,545225.0,876038.0,3409.0,214788.385,2589.608,24021.0,133318.0,129613.0,0.756044050276177,0.3906585731164103,0.18348012238577502,0.03305912194773926,1.2056553462742434,606583.7142857143,2657.4285714285716,High,High
2022-01-29,73233552.0,572820.0,878936.0,2898.0,216481.667,2598.174,23432.0,127041.0,126717.0,0.7883487878982557,0.3308075677082501,0.17347376513978183,0.03199626313359756,1.2001821241717183,577488.0,2657.0,High,Medium
2022-01-30,73756878.0,523326.0,882540.0,3604.0,218028.642,2608.828,23196.0,125816.0,123493.0,0.7145986855860822,0.41004123167102047,0.17058205744554428,0.031449270398890804,1.1965528150472964,541323.1428571428,2629.0,High,Medium
2022-01-31,73979050.0,222172.0,884056.0,1516.0,218685.393,2613.309,22909.0,124054.0,119864.0,0.3012220772142769,0.17177691662700842,0.16768801437704323,0.03096687508152646,1.1950085868904776,526124.2857142857,2671.5714285714284,High,Medium
2022-02-01,74137264.0,158214.0,884981.0,925.0,219153.08,2616.044,22670.0,120533.0,115631.0,0.21386324912255564,0.10463138081750478,0.1625808581228463,0.03057841465528051,1.19370604234869,503733.85714285716,2666.5714285714284,High,Medium
2022-02-02,74713785.0,576521.0,887760.0,2779.0,220857.302,2624.258,21913.0,117164.0,111351.0,0.777639973333788,0.3140180410652884,0.1568171121299771,0.029329259654025025,1.1882144640376604,441644.28571428574,2665.8571428571427,High,Medium
2022-02-03,75010243.0,296458.0,891836.0,4076.0,221733.645,2636.307,21330.0,112652.0,107132.0,0.396791569320173,0.4591330990357754,0.15018215578904337,0.02843611638479827,1.18895228748959,413533.71428571426,2743.8571428571427,High,Medium
2022-02-04,75313648.0,303405.0,895054.0,3218.0,222630.524,2645.82,20576.0,107664.0,101932.0,0.4044847581682945,0.3608286725362062,0.1429541694753652,0.027320413426262395,1.1884353284812335,378988.0,2716.5714285714284,High,Medium
2022-02-05,75663698.0,350050.0,897769.0,2715.0,223665.288,2653.845,19642.0,101670.0,97420.0,0.4647895956387612,0.30333365361196085,0.1343709106049773,0.02595960879416705,1.1865254061465513,347163.71428571426,2690.4285714285716,High,Medium
2022-02-06,75945588.0,281890.0,901194.0,3425.0,224498.567,2663.97,19280.0,99064.0,94160.0,0.3725564669070232,0.3815012547771197,0.13044075713786032,0.02538659651960296,1.1866311443924826,312672.85714285716,2664.8571428571427,High,Medium
2022-02-07,76050350.0,104762.0,902448.0,1254.0,224808.248,2667.677,18979.0,97280.0,90744.0,0.13794349712586335,0.13914872935239248,0.1279152561428054,0.02495583518024572,1.18664542635241,295900.0,2627.4285714285716,Medium,Medium
2022-02-08,76146928.0,96578.0,903162.0,714.0,225093.737,2669.787,18351.0,93609.0,86430.0,0.1269921834679262,0.07911813201425456,0.12293207678712922,0.024099462029512207,1.1860780516319713,287094.85714285716,2597.285714285714,Medium,Medium
2022-02-09,76452286.0,305358.0,906463.0,3301.0,225996.389,2679.545,17716.0,90113.0,82452.0,0.40101158118946045,0.3654936766604441,0.11786828715625325,0.023172622987362338,1.1856584641563237,248357.2857142857,2671.8571428571427,Medium,Medium
2022-02-10,76650207.0,197921.0,910267.0,3804.0,226581.453,2690.79,17044.0,86034.0,78755.0,0.25888172918727376,0.41965309119070493,0.11224235832787771,0.022236078240467114,1.187559741358559,234280.57142857142,2633.0,Medium,Medium
2022-02-11,76846601.0,196394.0,913272.0,3005.0,227162.002,2699.673,16121.0,81494.0,75984.0,0.2562210953976941,0.3301229199784239,0.10604763117629627,0.02097815621018814,1.1884351267533615,218993.2857142857,2602.5714285714284,Medium,Medium
2022-02-12,77012391.0,165790.0,915851.0,2579.0,227652.085,2707.297,15437.0,76807.0,72936.0,0.215741487382116,0.2823912262721292,0.09973330135925788,0.0200448262929533,1.1892255104766194,192670.42857142858,2583.1428571428573,Medium,Medium
2022-02-13,77167700.0,155309.0,918744.0,2893.0,228111.185,2715.849,14886.0,74334.0,69715.0,0.20166754723924882,0.31588107672536253,0.0963278677477753,0.01929045442588026,1.1905810332561422,174587.42857142858,2507.1428571428573,Medium,Medium
2022-02-14,77235588.0,67888.0,919713.0,969.0,228311.865,2718.713,14391.0,72085.0,66542.0,0.0879746318731801,0.10547007653927536,0.09333132804012576,0.018632602369778033,1.19078914761418,169319.7142857143,2466.4285714285716,Medium,Medium
2022-02-15,77283492.0,47904.0,920440.0,727.0,228453.472,2720.862,13814.0,68705.0,62785.0,0.062023221730376416,0.07904639816986386,0.08889996844345491,0.017874451118228458,1.1909917321023744,162366.2857142857,2468.285714285714,Medium,Medium
2022-02-16,77457785.0,174293.0,923413.0,2973.0,228968.69,2729.65,13145.0,65247.0,59326.0,0.22552422967637123,0.32299769675372647,0.0842355613448022,0.016970534336864913,1.1921500208145637,143642.7142857143,2421.4285714285716,Medium,Medium
2022-02-17,77565865.0,108080.0,926783.0,3370.0,229288.179,2739.612,12545.0,61859.0,56164.0,0.13953407007442828,0.364950460953008,0.07975028706248553,0.016173351512292166,1.1948335778889334,130808.28571428571,2359.4285714285716,Medium,Medium
2022-02-18,77671579.0,105714.0,929491.0,2708.0,229600.674,2747.617,11927.0,58681.0,53017.0,0.13628933294304138,0.2921935339772093,0.07555015715593989,0.015355681130159593,1.1966938382957297,117854.0,2317.0,Medium,Medium
2022-02-19,77772054.0,100475.0,931807.0,2316.0,229897.683,2754.463,11237.0,54814.0,49942.0,0.12935877098623166,0.24916863100342013,0.0704803296052847,0.014448634724241693,1.1981257432136228,108523.28571428571,2279.4285714285716,Medium,Medium
2022-02-20,77875856.0,103802.0,934116.0,2309.0,230204.526,2761.289,10777.0,52974.0,47651.0,0.13346953649957605,0.24779809552836585,0.06802365035961852,0.013838692187216535,1.1994937172825426,101165.14285714286,2196.0,Medium,Medium
2022-02-21,77916653.0,40797.0,934832.0,716.0,230325.124,2763.405,10453.0,51320.0,45701.0,0.05238722512404872,0.07665000920656535,0.0658652521945469,0.013415617326375659,1.199784595470239,97295.0,2159.8571428571427,Medium,Medium
2022-02-22,77947827.0,31174.0,935420.0,588.0,230417.276,2765.144,10174.0,49428.0,43475.0,0.040009418782400726,0.06289900217365259,0.06341164584357176,0.013052320239793214,1.2000591113335335,94905.0,2140.0,Medium,Medium
2022-02-23,77996240.0,48413.0,936520.0,1100.0,230560.387,2768.395,9622.0,47038.0,41224.0,0.062109492802153415,0.11759423574437151,0.060308035361704614,0.012336492118081589,1.20072454774743,76922.14285714286,1872.4285714285713,Medium,Medium
2022-02-24,78111262.0,115022.0,939772.0,3252.0,230900.397,2778.008,9113.0,44380.0,38905.0,0.14747121143275624,0.34724298466663817,0.05681639095781092,0.011666691545708223,1.2031197242722824,77913.85714285714,1855.5714285714287,Medium,Medium
2022-02-25,78184924.0,73662.0,942383.0,2611.0,231118.145,2785.726,8605.0,42035.0,36937.0,0.09430394300888392,0.2778333468117799,0.05376356188566481,0.011005958130751652,1.2053257223860703,73335.0,1841.7142857142858,Medium,Medium
2022-02-26,78259986.0,75062.0,944871.0,2488.0,231340.032,2793.081,7998.0,39278.0,35208.0,0.0960057210006369,0.26401155368889295,0.050189122190745096,0.010219782048005988,1.207348797634592,69704.57142857143,1866.2857142857142,Medium,Medium
